no,originalSMILES,finalSMILES,expVDss(L/kg),predVDss(L/kg),expCL(mL/min/kg),predCL(mL/min/kg),expt1/2(h),predt1/2(h),expfu,predfu,explogVDss,predlogVDss,explogCL,predlogCL,explogt1/2,predlogt1/2,explogfu,predlogfu
,3SC(C)(C)[C@@H](N3C2=O)C(O)=O,3SC(C)(C)[C@@H](N3C2=O)C([O-])=O,,,,,,,,,,,,,,,,
917,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,0.54,0.63,0.063,0.34,99,27.92,0.49,0.28,0.27,-0.20,-1.20,-0.47,2.00,1.45,-0.31,-0.55
,CCOC(=O)C1(CCN(CCC(O)C2=CC=CC=C2)C,CCOC(=O)C1(CC[NH+](CC[C@@H](O)C2=CC=CC,,,,,,,,,,,,,,,,
918,,,5.7,4.52,22,15.23,3.22,4.60,,,0.76,0.66,1.34,1.18,0.51,0.66,,
,C1)C3=CC=CC=C3,=C2)CC1)C3=CC=CC=C3,,,,,,,,,,,,,,,,
,OC1=CC=C(C=C1)C2=CC3=C(OC2)C=C(O)C,,,,,,,,,,,,,,,,,
919,,OC1=CC=C(C=C1)C2=CC3=C(OC2)C=C(O)C=C3,1.55,1.23,0.59,1.76,0.67,1.33,,,0.19,0.09,-0.23,0.24,-0.17,0.12,,
,=C3,,,,,,,,,,,,,,,,,
,CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC,CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C,,,,,,,,,,,,,,,,
920,,,0.41,0.33,6.8,5.18,0.84,1.13,0.45,0.41,0.39,-0.49,0.83,0.71,-0.08,0.05,-0.35,-0.39
,=CC=C3)C(=O)N2[C@H]1C(O)=O,3)C(=O)N2[C@H]1C([O-])=O,,,,,,,,,,,,,,,,
,CC[C@H](C1=CC=CC=C1)C2=C(O)C3=C(OC,CC[C@H](C1=CC=CC=C1)C2=C([O-,,,,,,,,,,,,,,,,
921,,,0.2,0.25,0.02,0.08,126,43.63,0.57,0.14,0.70,-0.60,-1.70,-1.12,2.10,1.64,-0.24,-0.85
,2=O)C=CC=C3,])C3=C(OC2=O)C=CC=C3,,,,,,,,,,,,,,,,
,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=,CC1=CC=C(C=C1)N(CC2=[NH+]CCN2)C3=CC(=CC,,,,,,,,,,,,,,,,
922,,,,,42,29.63,2.5,3.00,,,,,1.62,1.47,0.40,0.48,,
,CC=C3)O,=C3)O,,,,,,,,,,,,,,,,
,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=,,,,,,,,,,,,,,,,,
923,,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,0.43,0.54,0.37,0.69,16.8,13.54,0.13,0.09,0.37,-0.27,-0.43,-0.16,1.23,1.13,-0.89,-1.05
,CC=C3,,,,,,,,,,,,,,,,,
,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC,,,,,,,,,,,,,,,,,
,,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=,,,,,,,,,,,,,,,,
924,C(C)=CCC1=C(C)C(=O)C2=C(C=CC=C2)C1=,,0.32,0.40,1.6,1.51,7.3,9.27,,,0.49,-0.39,0.20,0.18,0.86,0.97,,
,,C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,,
,CNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]3N(,CNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]3[NH+](C),,,,,,,,,,,,,,,,
925,,,3.9,3.10,72,29.82,1,1.60,0.64,0.62,0.59,0.49,1.86,1.47,0.00,0.20,-0.19,-0.21
,C)CC[C@]23C,CC[C@]23C,,,,,,,,,,,,,,,,
,CC1=C(C)C2=CC=C(OCCCN3CCN(CC3)CC4,CC1=C(C)C2=C(OC1=O)C=C(OCCC[NH+]3CC[NH+,,,,,,,,,,,,,,,,
926,,,1.3,1.64,1.3,2.28,19.2,13.75,0.05,0.04,0.11,0.21,0.11,0.36,1.28,1.14,-1.30,-1.42
,=CC=C(Cl)C=C4)C=C2OC1=O,](CC3)CC4=CC=C(Cl)C=C4)C=C2,,,,,,,,,,,,,,,,
,,[O-,,,,,,,,,,,,,,,,
,OC(=O)[C@@H]1CSCN1C(=O)[C@@H]2CC,,,,,,,,,,,,,,,,,
927,,]C(=O)[C@@H]1CSCN1C(=O)[C@@H]2CCC(=O)N,0.31,0.39,1.16,1.89,3.8,2.56,0.96,0.87,0.51,-0.41,0.06,0.28,0.58,0.41,-0.02,-0.06
,C(=O)N2,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,
,OC[C@@H](O)CNC(=O)C1=C(NC2=C(F)C=C,OC[C@@H](O)CNC(=O)C1=C(NC2=C(F)C=C(I)C=C,,,,,,,,,,,,,,,,
928,,,1.8,1.43,8.71,6.38,4.59,4.98,,,0.26,0.16,0.94,0.80,0.66,0.70,,
,(I)C=C2)C=NC=C1,2)C=NC=C1,,,,,,,,,,,,,,,,
,COC1=CC=C(C=C1)C2=NC3=CC(=CC=C3[N,COC1=CC=C(C=C1)C2=NC3=C([NH]2)C=CC(=C3)C,,,,,,,,,,,,,,,,
929,,,2,1.59,14,8.12,1.8,2.68,0.024,0.02,0.30,0.20,1.15,0.91,0.26,0.43,-1.62,-1.67
,H]2)C4=NNC(=O)CC4C,4=NNC(=O)C[C@@H]4C,,,,,,,,,,,,,,,,
,C[C@@H](NC(NC#N)=NC1=CC=NC=C1)C(C,,,,,,,,,,,,,,,,,
930,,C[C@@H](NC(NC#N)=NC1=CC=NC=C1)C(C)(C)C,1.1,1.39,5.68,4.80,2.5,3.08,0.6,0.41,0.04,0.14,0.75,0.68,0.40,0.49,-0.22,-0.39
,)(C)C,,,,,,,,,,,,,,,,,
,,CC(C)[NH2+]C[C@@H](O)COC1=C2C=C[NH]C2=C,,,,,,,,,,,,,,,,
931,CC(C)NCC(O)COC1=CC=CC2=C1C=C[NH]2,,1.2,2.61,7.7,9.25,2.2,3.93,0.58,0.58,0.08,0.42,0.89,0.97,0.34,0.59,-0.24,-0.24
,,C=C1,,,,,,,,,,,,,,,,
,OC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC,OC1=CC2=C(C(=O)C[C@H](O2)C3=CC=CC=C3)C(=,,,,,,,,,,,,,,,,
932,,,0.8,0.64,27,11.54,0.7,1.24,,,0.10,-0.20,1.43,1.06,-0.15,0.09,,
,=CC=C3)O,C1)O,,,,,,,,,,,,,,,,
,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C,CC(=O)O[C@H]1C[C@@H]2CC[C@H]3[C@@H](C,,,,,,,,,,,,,,,,
,@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@,C[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(C)=O,,,,,,,,,,,,,,,,
933,,,0.35,0.44,3,3.07,1.9,2.43,0.98,0.45,0.46,-0.36,0.48,0.49,0.28,0.39,-0.01,-0.35
,@H]4OC(C)=O)N5CC[N+](C)(C)CC5)[C@@],)N5CC[N+](C)(C)CC5)[C@@]2(C)C[C@@H]1N6CC,,,,,,,,,,,,,,,,
,2(C)C[C@@H]1N6CC[N+](C)(C)CC6,[N+](C)(C)CC6,,,,,,,,,,,,,,,,
,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N=C2),CCN1C=C(C([O-,,,,,,,,,,,,,,,,
934,,,0.88,1.11,2.84,3.22,3.69,4.31,0.7,0.65,0.06,0.04,0.45,0.51,0.57,0.63,-0.15,-0.19
,N3CCNCC3,])=O)C(=O)C2=C1N=C(N=C2)N3CC[NH2+]CC3,,,,,,,,,,,,,,,,
,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H],,,,,,,,,,,,,,,,
935,,,0.27,0.34,4,2.69,0.96,1.36,0.5,0.33,0.57,-0.47,0.60,0.43,-0.02,0.13,-0.30,-0.48
,[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O),3SC(C)(C)[C@@H](N3C2=O)C([O-,,,,,,,,,,,,,,,,
,C4=CC=CC=C4)C(=O)C1=O,])=O)C4=CC=CC=C4)C(=O)C1=O,,,,,,,,,,,,,,,,
,CN(CCC(=O)C=CC1=CC=C(O)C=C1)CCC2=,C[NH+](CCC(=O)\C=C\C1=CC=C(O)C=C1)CCC2=C,,,,,,,,,,,,,,,,
936,,,2.13,2.68,713,137.18,0.1,0.53,,,0.33,0.43,2.85,2.14,-1.00,-0.28,,
,CC=C3OCOC3=C2,C3=C(OCO3)C=C2,,,,,,,,,,,,,,,,
,COC1=C2C(=O)C3=C(C(=C4C[C@](O)(C[C@,COC1=C2C(=O)C3=C(C(=C4C[C@@](O)(C[C@H](O,,,,,,,,,,,,,,,,
,H](O[C@@H]5C[C@H](N)[C@H](O[C@@H],[C@@H]5C[C@H]([NH3+])[C@H](O[C@@H]6CCC,,,,,,,,,,,,,,,,
937,,,43.2,34.32,57.7,28.31,11.1,20.05,,,1.64,1.54,1.76,1.45,1.05,1.30,,
,6CCCCO6)[C@H](C)O5)C4=C3O)C(=O)CO)O,CO6)[C@H](C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=C,,,,,,,,,,,,,,,,
,)C(=O)C2=CC=C1,C=C1,,,,,,,,,,,,,,,,
,CN1CCN(CC1)CC(=O)N2C3=C(C=CC=C3)C(,C[NH+]1CC[NH+](CC1)CC(=O)N2C3=C(C=CC=C3),,,,,,,,,,,,,,,,
938,,,1.71,2.15,2.77,3.73,11.1,8.99,,,0.23,0.33,0.44,0.57,1.05,0.95,,
,=O)NC4=C2N=CC=C4,C(=O)NC4=C2N=CC=C4,,,,,,,,,,,,,,,,
,N[S](=O)(=O)C1=CC(=CC(=C1OC2=CC=CC=,N[S](=O)(=O)C1=C(OC2=CC=CC=C2)C(=CC(=C1)C(,,,,,,,,,,,,,,,,
939,,,0.17,0.18,3.1,2.32,1.3,1.97,0.058,0.06,0.77,-0.75,0.49,0.37,0.11,0.29,-1.24,-1.23
,C2)N3CCCC3)C(O)=O,[O-])=O)N3CCCC3,,,,,,,,,,,,,,,,
,NC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC,NC(=O)C1(CC[NH+](CC1)CCC(C#N)(C2=CC=CC=C,,,,,,,,,,,,,,,,
940,,,4.7,3.74,7.8,6.62,8,7.82,0.061,0.07,0.67,0.57,0.89,0.82,0.90,0.89,-1.21,-1.17
,=C2)C3=CC=CC=C3)N4CCCCC4,2)C3=CC=CC=C3)[NH+]4CCCCC4,,,,,,,,,,,,,,,,
,C[C@@H]1CCC[C@H](C)N1CCCC(O)(C2=C,C[C@@H]1CCC[C@@H](C)[NH+]1CCC[C@](O)(C2,,,,,,,,,,,,,,,,
941,,,1.4,1.99,1.8,3.00,8.4,7.65,0.13,0.16,0.15,0.30,0.26,0.48,0.92,0.88,-0.89,-0.80
,C=CC=C2)C3=CC=CC=N3,=CC=CC=C2)C3=NC=CC=C3,,,,,,,,,,,,,,,,
942,CCC1=C(NC(=O)N1)C(=O)C2=CC=NC=C2,CCC1=C(NC(=O)N1)C(=O)C2=CC=NC=C2,0.65,1.05,9.03,7.33,1.32,1.54,,,0.19,0.02,0.96,0.87,0.12,0.19,,
,O[C@H](C[C@H](O)C=CC1=C(C2=CC=C(F),O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2),,,,,,,,,,,,,,,,
943,,,0.9,0.71,5.85,4.83,4.6,4.18,0.005,0.01,0.05,-0.15,0.77,0.68,0.66,0.62,-2.30,-2.17
,C=C2)C3=CC=CC=C3N=C1C4CC4)CC(O)=O,C3=CC=CC=C3N=C1C4CC4)CC([O-])=O,,,,,,,,,,,,,,,,
,NCCNC1=CC=C(NCCN)C2=C1C(=O)C3=C(C,[NH3+]CCNC1=C2C(=O)C3=C(C=NC=C3)C(=O)C2=,,,,,,,,,,,,,,,,
944,,,10.1,8.02,17.7,12.50,13.4,14.18,,,1.00,0.90,1.25,1.10,1.13,1.15,,
,=NC=C3)C2=O,C(NCC[NH3+])C=C1,,,,,,,,,,,,,,,,
,CC[C@@H](C)N(C)C(=O)C1=CC2=CC=CC=,CC[C@@H](C)N(C)C(=O)C1=NC(=C2C=CC=CC2=C,,,,,,,,,,,,,,,,
945,,,1.7,1.66,5.9,4.27,3.7,5.89,,,0.23,0.22,0.77,0.63,0.57,0.77,,
,C2C(=N1)C3=C(Cl)C=CC=C3,1)C3=C(Cl)C=CC=C3,,,,,,,,,,,,,,,,
,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C,C[NH2+][C@@H]1[C@@H](O)[C@H](OC[C@]1(C),,,,,,,,,,,,,,,,
,)O)O[C@@H]2[C@@H](O)[C@H](O[C@H]3,O)O[C@H]2[C@@H](C[C@H]([NH3+])[C@@H](O[,,,,,,,,,,,,,,,,
946,,,0.22,0.37,1.14,1.30,3.4,3.78,0.84,0.64,0.66,-0.44,0.06,0.11,0.53,0.58,-0.08,-0.20
,OC(=CC[C@H]3N)CNCCO)[C@@H](N)C[C,C@H]3OC(=CC[C@H]3[NH3+])C[NH2+]CCO)[C@,,,,,,,,,,,,,,,,
,@H]2NC(=O)[C@@H](O)CCN,@H]2O)NC(=O)[C@@H](O)CC[NH3+],,,,,,,,,,,,,,,,
,CC(C)(C)C1=C(C=C2NC(=O)C(NC2=O)=CC3,CC(C)(C)C1=C(\C=C2/NC(=O)\C(NC2=O)=C/C3=CC,,,,,,,,,,,,,,,,
947,,,3,2.38,7.4,4.57,6.3,6.65,,,0.48,0.38,0.87,0.66,0.80,0.82,,
,=CC=CC=C3)N=C[NH]1,=CC=C3)N=C[NH]1,,,,,,,,,,,,,,,,
,CCCN=C1SC(=CC2=CC=C(OC[C@H](O)CO),CCCN=C1S\C(=C\C2=CC(=C(OC[C@H](O)CO)C=C,,,,,,,,,,,,,,,,
948,,,2.28,1.81,0.9,1.56,32.9,20.47,,,0.36,0.26,-0.05,0.19,1.52,1.31,,
,C(=C2)Cl)C(=O)N1C3=CC=CC=C3C,2)Cl)C(=O)N1C3=C(C)C=CC=C3,,,,,,,,,,,,,,,,
,CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C2,,,,,,,,,,,,,,,,,
,,CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C2=CC=C(,,,,,,,,,,,,,,,,
,=CC=C(C=C2)N3CCN(CC3)C4=CC=C(OC[C,,,,,,,,,,,,,,,,,
949,,C=C2)N3CCN(CC3)C4=CC=C(OC[C@H]5CO[C@@],3.8,3.02,4.3,3.84,10.6,15.88,0.013,0.01,0.58,0.48,0.63,0.58,1.03,1.20,-1.89,-1.88
,@H]5CO[C@@](C5)(C[N]6C=NC=N6)C7=C(,,,,,,,,,,,,,,,,,
,,(C5)(C[N]6C=NC=N6)C7=C(F)C=C(F)C=C7)C=C4,,,,,,,,,,,,,,,,
,F)C=C(F)C=C7)C=C4,,,,,,,,,,,,,,,,,
,C[S](=O)(=O)OCCN(CCBr)C1=C(C=C(C=C1[,,,,,,,,,,,,,,,,,
,,C[S](=O)(=O)OCCN(CCBr)C1=C(C=C(C=C1C(=O)N,,,,,,,,,,,,,,,,
950,N](=O)=O)[N](=O)=O)C(=O)NCCO[P](O)(O)=,,0.86,0.83,44.8,17.17,0.1,0.34,,,0.07,-0.08,1.65,1.23,-1.00,-0.47,,
,,CCO[P]([O-])([O-])=O)[N+]([O-])=O)[N+]([O-])=O,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,,
,CC(C)NC[C@@H](O)COC1=CC=C(NC(C)=O,CC(C)[NH2+]C[C@@H](O)COC1=CC=C(NC(C)=O),,,,,,,,,,,,,,,,
951,,,,,2.28,3.49,12.2,7.15,0.93,0.81,,,0.36,0.54,1.09,0.85,-0.03,-0.09
,)C=C1,C=C1,,,,,,,,,,,,,,,,
,NC1=NC2=NC=C(C[C@@H](CC#C)C3=CC=,NC1=NC2=NC=C(C[C@@H](CC#C)C3=CC=C(C=C3,,,,,,,,,,,,,,,,
952,C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,)C(=O)N[C@@H](CCC([O-])=O)C([O-,0.53,1.02,2.7,2.74,15,9.51,0.33,0.25,0.28,0.01,0.43,0.44,1.18,0.98,-0.48,-0.60
,)N=C2C(=N1)N,])=O)N=C2C(=N1)N,,,,,,,,,,,,,,,,
,NC1=NC2=NC=C(C[C@H](CC#C)C3=CC=C(,NC1=NC2=NC=C(C[C@H](CC#C)C3=CC=C(C=C3),,,,,,,,,,,,,,,,
953,C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O),C(=O)N[C@@H](CCC([O-])=O)C([O-,1.5,1.19,6,4.47,15,9.48,0.33,0.22,0.18,0.08,0.78,0.65,1.18,0.98,-0.48,-0.66
,N=C2C(=N1)N,])=O)N=C2C(=N1)N,,,,,,,,,,,,,,,,
954,C[N+]1=C(C=CC=C1)C=NO,C[N+]1=C(C=CC=C1)\C=N/O,0.8,0.92,9,7.32,1.4,2.22,1,0.85,0.10,-0.04,0.95,0.86,0.15,0.35,0.00,-0.07
955,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,CCC[NH2+][C@H]1CCC2=C(C1)SC(=N2)N,7,5.56,7.2,7.11,12.4,8.30,0.85,0.81,0.85,0.75,0.86,0.85,1.09,0.92,-0.07,-0.09
,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[,,,,,,,,,,,,,,,,
956,2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@,C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O,0.46,0.58,14,10.70,0.78,1.12,0.5,0.27,0.34,-0.24,1.15,1.03,-0.11,0.05,-0.30,-0.57
,@H](O)CC(O)=O)[C@@H]12,-])=O)[C@H]12,,,,,,,,,,,,,,,,
,COC1=CC2=NC(=NC(=C2C=C1OC)N)N3CC,COC1=C(OC)C=C2C(=NC(=NC2=C1)N3CCN(CC3)C,,,,,,,,,,,,,,,,
957,,,0.73,0.92,4.7,3.89,2,3.16,0.06,0.07,0.14,-0.04,0.67,0.59,0.30,0.50,-1.22,-1.16
,N(CC3)C(=O)C4=CC=CO4,(=O)C4=CC=CO4)N,,,,,,,,,,,,,,,,
,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4,,,,,,,,,,,,,,,,,
,,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=,,,,,,,,,,,,,,,,
958,=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O,,0.86,0.68,2.9,3.61,3.4,2.87,0.25,0.21,0.07,-0.17,0.46,0.56,0.53,0.46,-0.60,-0.69
,,O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,,,,,,,,,,,,,,,,
,)C(=O)CO,,,,,,,,,,,,,,,,,
,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(,,,,,,,,,,,,,,,,,
,,C[C@@]12CC(=O)[C@@H]3[C@@H](CCC4=CC(=,,,,,,,,,,,,,,,,
959,=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=,,0.57,0.69,2.5,3.56,2.9,2.39,0.27,0.16,0.24,-0.16,0.40,0.55,0.46,0.38,-0.57,-0.80
,,O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,,,,,,,,,,,,,,,,
,O)CO,,,,,,,,,,,,,,,,,
960,CC(C)NC[C@H](O)COC1=CC=C(O)C=C1,CC(C)[NH2+]C[C@H](O)COC1=CC=C(O)C=C1,4.28,1.63,22.1,15.70,2.85,3.69,,,0.63,0.21,1.34,1.20,0.45,0.57,,
,COC1=CC=CC(=C1C2=CC(=N[NH]2)NC3=C,COC1=C(C2=CC(=N[NH]2)NC3=NC=C(N=C3)C#N),,,,,,,,,,,,,,,,
961,,,22.75,17.30,34,18.83,12.54,7.29,,,1.36,1.24,1.53,1.27,1.10,0.86,,
,N=C(C=N3)C#N)OCCCN,C(=CC=C1)OCCC[NH3+],,,,,,,,,,,,,,,,
,CC[N+]1(CC)CCC([C@@H]1C)=C(C2=CC=C,CC[N+]1(CC)CCC([C@@H]1C)=C(C2=CC=CC=C2),,,,,,,,,,,,,,,,
962,,,1.87,2.36,12.5,10.06,2.13,4.91,,,0.27,0.37,1.10,1.00,0.33,0.69,,
,C=C2)C3=CC=CC=C3,C3=CC=CC=C3,,,,,,,,,,,,,,,,
963,CCCNC(C)C(=O)NC1=CC=CC=C1C,CCC[NH2+][C@H](C)C(=O)NC1=C(C)C=CC=C1,3.7,2.69,29,16.24,1.8,2.67,0.72,0.41,0.57,0.43,1.46,1.21,0.26,0.43,-0.14,-0.39
,,COC1=CC2=CC=CN=C2C(=C1)N[C@@H](C)CCC[N,,,,,,,,,,,,,,,,
964,COC1=CC(=C2N=CC=CC2=C1)NC(C)CCCN,,4,5.03,5.8,6.40,7.1,6.68,,,0.60,0.70,0.76,0.81,0.85,0.82,,
,,H3+],,,,,,,,,,,,,,,,
,CCCN(CCC)[S](=O)(=O)C1=CC=C(C=C1)C(O,,,,,,,,,,,,,,,,,
965,,CCCN(CCC)[S](=O)(=O)C1=CC=C(C=C1)C([O-])=O,0.13,0.16,0.25,0.56,5.9,4.30,0.13,0.13,0.89,-0.79,-0.60,-0.25,0.77,0.63,-0.89,-0.90
,)=O,,,,,,,,,,,,,,,,,
966,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,CC[NH+](CC)CCNC(=O)C1=CC=C(N)C=C1,2.2,2.69,10,9.75,3.1,3.08,0.84,0.68,0.34,0.43,1.00,0.99,0.49,0.49,-0.08,-0.17
,CN1CCN(CCCN2C3=CC=CC=C3SC4=CC=C(,C[NH+]1CC[NH+](CCCN2C3=C(SC4=C2C=C(Cl)C=,,,,,,,,,,,,,,,,
967,,,22,12.95,16,13.51,9,11.31,,,1.34,1.11,1.20,1.13,0.95,1.05,,
,Cl)C=C24)CC1,C4)C=CC=C3)CC1,,,,,,,,,,,,,,,,
,OC(CCN1CCCC1)(C2CCCCC2)C3=CC=CC=C,O[C@](CC[NH+]1CCCC1)(C2CCCCC2)C3=CC=CC=,,,,,,,,,,,,,,,,
968,,,0.74,2.71,0.86,2.30,12,11.86,,,0.13,0.43,-0.07,0.36,1.08,1.07,,
,3,C3,,,,,,,,,,,,,,,,
,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C,C[NH+](C)CCCN1C2=C(SC3=C1C=CC=C3)C=CC=C,,,,,,,,,,,,,,,,
969,,,8.1,7.80,14,12.59,7.9,15.15,0.11,0.11,0.91,0.89,1.15,1.10,0.90,1.18,-0.96,-0.97
,13,2,,,,,,,,,,,,,,,,
,CC(CN1C2=CC=CC=C2SC3=CC=CC=C13)N(,C[C@H](CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)[N,,,,,,,,,,,,,,,,
970,,,14,7.94,14,12.51,14,14.51,0.09,0.07,1.15,0.90,1.15,1.10,1.15,1.16,-1.05,-1.13
,C)C,H+](C)C,,,,,,,,,,,,,,,,
,CCCNCC(O)COC1=CC=CC=C1C(=O)CCC2=,CCC[NH2+]C[C@H](O)COC1=C(C=CC=C1)C(=O)C,,,,,,,,,,,,,,,,
971,,,2.2,2.41,16,13.45,2.1,2.71,0.038,0.05,0.34,0.38,1.20,1.13,0.32,0.43,-1.42,-1.28
,CC=CC=C2,CC2=CC=CC=C2,,,,,,,,,,,,,,,,
972,CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.3,0.44,2.33,3.06,1.28,2.16,,,0.52,-0.35,0.37,0.49,0.11,0.33,,
,CCCOC(C(=O)OC1CCN(C)CC1)(C2=CC=CC=,CCCOC(C(=O)OC1CC[NH+](C)CC1)(C2=CC=CC=C,,,,,,,,,,,,,,,,
973,,,2.73,3.22,2.94,4.76,15.2,12.90,0.1,0.08,0.44,0.51,0.47,0.68,1.18,1.11,-1.00,-1.09
,C2)C3=CC=CC=C3,2)C3=CC=CC=C3,,,,,,,,,,,,,,,,
974,CC(C)C1=CC=CC(=C1O)C(C)C,CC(C)C1=C(O)C(=CC=C1)C(C)C,4.7,3.73,36,17.88,3.2,4.08,0.016,0.03,0.67,0.57,1.56,1.25,0.51,0.61,-1.80,-1.54
,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)C[N,,,,,,,,,,,,,,,,
975,,,12,9.53,15,10.80,18,14.13,0.24,0.10,1.08,0.98,1.18,1.03,1.26,1.15,-0.62,-1.00
,C)CN(C)C)C2=CC=CC=C2,H+](C)C)C2=CC=CC=C2,,,,,,,,,,,,,,,,
,,CC(C)[NH2+]C[C@H](O)COC1=C2C=CC=CC2=CC=,,,,,,,,,,,,,,,,
976,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,,3.1,1.87,12,11.59,3.4,4.10,0.13,0.16,0.49,0.27,1.08,1.06,0.53,0.61,-0.89,-0.80
,,C1,,,,,,,,,,,,,,,,
977,CCCC1=CC(=O)NC(=S)N1,CCCC1=CC(=O)NC(=S)N1,0.34,0.43,3.1,3.90,1.3,1.89,0.18,0.26,0.47,-0.37,0.49,0.59,0.11,0.28,-0.74,-0.59
,CC(C)N1C(=O)N=C(C2=CC=CC=C2)C3=C1C,CC(C)N1C(=O)N=C(C2=CC=CC=C2)C3=C1C=C(C)C,,,,,,,,,,,,,,,,
978,,,0.52,1.24,9.45,4.93,1.27,3.15,0.02,0.05,0.28,0.09,0.98,0.69,0.10,0.50,-1.70,-1.34
,=C(C)C=C3,=C3,,,,,,,,,,,,,,,,
979,,CC(O)C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C C[C@@H](O)C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,0.59,0.67,1.17,1.89,7.8,4.61,,,0.23,-0.18,0.07,0.28,0.89,0.66,,
,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(N)C3,COCCC[NH+]1CCC(CC1)NC(=O)C2=C3OCCC3=C(,,,,,,,,,,,,,,,,
980,,,8.73,6.93,4.55,5.03,22.5,13.58,0.7,0.54,0.94,0.84,0.66,0.70,1.35,1.13,-0.15,-0.27
,=C2OCC3)Cl,N)C(=C2)Cl,,,,,,,,,,,,,,,,
,CC1=CC(=C2C(=O)C3=C(O)C=C(O)C4=C5C(,CC1=C2C3=C(CO)C=C(O)C4=C3C5=C6C2=C(C(=C1,,,,,,,,,,,,,,,,
981,=CC(=C6C(=O)C7=C(O)C=C(CO)C8=C7C(=C,)O)C(=O)C7=C6C(=C(O)C=C7O)C8=C5C(=C(O)C=C,0.56,0.70,0.62,0.85,20,20.86,,,0.25,-0.15,-0.21,-0.07,1.30,1.32,,
,56)C(=C34)C2=C18)O)O)O,8O)C4=O,,,,,,,,,,,,,,,,
982,O=NNC1=NC=CN=C1,O=NNC1=NC=CN=C1,0.31,0.39,15.13,9.50,0.38,0.71,,,0.51,-0.41,1.18,0.98,-0.42,-0.15,,
983,CN(C)C(=O)OC1=CC=C[N+](=C1)C,CN(C)C(=O)OC1=C[N+](=CC=C1)C,1.1,1.44,9.6,7.46,1.5,2.22,1,0.82,0.04,0.16,0.98,0.87,0.18,0.35,0.00,-0.09
